ID,Category,Subcategory,Requirement,Business Description,Functional Detail,Priority,Status,Dependencies,Related Requirements,Affected Modules,UX Impact,Risk,Source,Notes
BC-015,"Persistence, Autosave & Recovery",Import/Restore Purpose,Import purpose,"Import supports offline updates, JSON backup recovery, and controlled structure restoration.","JSON import parser, validation, reconciliation preview, local backup",MVP,Confirmed,JSON backup/import,Builder State & Mutation Layer,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can recover or apply offline work safely.,Medium,Decision Register,"Template import is future, but import engine should be reusable."
BC-014,"Persistence, Autosave & Recovery",Import/Restore Surface,Import location,Import should exist for offline updates/recovery but live quietly inside Project Metadata,"Project Metadata Island, import modal, backup import utility.",MVP,Confirmed,Save & Continuity,Builder UI Surfaces,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can recover/update when needed without cluttering main,Low-medium,Decision Register,“Project Metadata Island” can be final-named later.
SC-010,"Persistence, Autosave & Recovery",JSON Export Backup,JSON export backup,Allow user to export a version backup/summary JSON as a personal safety,"Affects export utility, version serializer, User Island/file action.",MVP,Confirmed,Data model serialization.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can download a recoverable copy of their,Low-medium,Decision Register,Should be readable and restorable.
SC-011,"Persistence, Autosave & Recovery",JSON Import Restore,JSON import restore,"Allow user to upload a JSON backup to restore/continue work, with validation","Affects import parser, validation layer, mapper layer, builder",MVP,Confirmed,Validation/data model.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can recover work without asking technical team,Medium,Decision Register,Must validate schema before applying to builder.
SC-008,"Persistence, Autosave & Recovery",Local Recovery Cache,Local cache,"Use local user cache to protect unsaved work during disconnection, accidental close,","Affects browser storage layer, version/user-specific draft key, restore",MVP,Confirmed,Source-of-truth decision.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User has safety if connection fails or browser,Medium,Decision Register,Cache should be scoped by user + version.
SC-004,"Persistence, Autosave & Recovery",Manual Save,Manual save / Ctrl+S,Add manual save and Ctrl+S in addition to autosave.,"Affects keyboard handler, User Island / header save",MVP,Confirmed,Save status system.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can actively save before closing or handing,Low,Decision Register,Should not replace autosave.
SC-012,"Persistence, Autosave & Recovery",Offline Boundary,Offline scope,MVP is not a full offline sync app. Offline support is limited,"Affects scope of local cache, no background sync",MVP,Confirmed,Source-of-truth decision.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,"User gets basic protection, not full offline collaboration.",Low-medium,Decision Register,Important MVP boundary.
SC-007,"Persistence, Autosave & Recovery",Retry Path,Retry behavior,No blind complex retry system. User should have a clear retry path,Affects save error state and manual save action.,MVP,Confirmed,Save failure state.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User sees the problem and can retry intentionally.,Low-medium,Decision Register,"Exact retry count is implementation-level, not register-level."
SC-006,"Persistence, Autosave & Recovery",Save Failure Handling,Save failure behavior,"If save fails, keep the user’s current work visible. Mark it as","Affects useBuilderNodes.ts, save error state, retry/manual save behavior,",MVP,Confirmed,"Save status UI, local cache.",,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User keeps working draft visible and understands save,Medium,Decision Register,Export backup should be available when sync fails.
SC-005,"Persistence, Autosave & Recovery",Save Status UI,Save status UI,"Show save status clearly in the Builder, preferably through User Island /","Affects User Island, Builder Header, save state returned",MVP,Confirmed,Autosave/save state.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,Reduces anxiety and prevents accidental closing while unsynced.,Low,Decision Register,Should include visual feedback/animation but details are implementation-level.
BC-031,"Preferences, Session & Telemetry",Creation Behavior Events,Creation behavior events,"Creation actions should be trackable later as meaningful behavior events, not as","Event adapter, analytics event names, no required MVP",Seed Now,Confirmed,UI behavior tracking,"Audit, Logs & Error Reporting",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,"Future team can learn whether users build top-down,",Low-medium,Decision Register,"Examples: phase_created, task_created_from_timeline, import_applied."
UP-013,"Preferences, Session & Telemetry",Local State Cleanup,Local state cleanup,Local UI/session state should have cleanup rules to avoid growing forever.,"Local storage utility, TTL/cleanup function, user/version keys.",MVP + Seed Now,Confirmed,Preference storage,,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,App remains lightweight over time.,Medium,Decision Register,"Details can be implementation-level, but cleanup rule is register-worthy."
UP-021,"Preferences, Session & Telemetry",Locked Version Restore,Locked version restore behavior,"If a version is Ready/Approved/Superseded, restore view/island layout but do not restore","Version status guard, editor restore logic.",MVP,Confirmed,"Version Lifecycle, Ready lock",Lifecycle & Version Status Rules,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User sees locked version safely.,Medium,Decision Register,Read-only viewer/editor distinction may be needed.
UP-019,"Preferences, Session & Telemetry",No Backend Writes for UI State,No backend writes for UI preferences,"Switching views, opening islands, selecting cards, and restoring UI state should not",No API endpoint for UI state in MVP;,MVP,Confirmed,"Save & Continuity, local storage","Persistence, Autosave & Recovery",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User gets responsive UI with no unnecessary sync.,Low,Decision Register,Major cost-control decision.
UP-010,"Preferences, Session & Telemetry",Preference Scope,Preference scope,UI preference keys should be scoped by userId + dcxId + versionId.,"Preference key generator, local storage schema.",MVP,Confirmed,"Auth/user identity, version routing","Routing, Auth & Load Control",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User-specific workspace memory behaves correctly.,Medium,Decision Register,Important for shared computers or multiple users.
UP-009,"Preferences, Session & Telemetry",Preference Storage,UI preference storage location,"UI preferences should be stored locally in the browser, not saved to","Local storage utility, preference service, no backend endpoint",MVP,Confirmed,User/session identity,"Persistence, Autosave & Recovery",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User gets personal continuity without affecting others.,Low-medium,Decision Register,Later analytics can be separate from preference storage.
UP-022,"Preferences, Session & Telemetry",Restore Validation,Deleted/missing item restore behavior,"If restored selected task/action/phase no longer exists, ignore that restored selection/editor state.","Restore validator, local preference cleanup.",MVP,Confirmed,"Data model, local storage",Domain Model & API Contracts,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User does not see broken panels.,Low-medium,Decision Register,Can clean stale keys during restore.
UP-014,"Preferences, Session & Telemetry",Runtime State Cleanup,RAM/state safety,"Runtime UI state should be cleared when leaving/unmounting Builder, while persisted preferences","Builder unmount cleanup, store reset actions, island state",MVP,Confirmed,Builder store architecture,Builder State & Mutation Layer,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,App feels stable and does not degrade after,Medium,Decision Register,Needs implementation discipline in Zustand/hooks.
UP-004,"Preferences, Session & Telemetry",Session Restore,Restore last working context,Restore last working context per user + version when safe.,"Local session store, builder loader, task/editor validation before",MVP,Confirmed,"Local storage, Builder load sequence",Builder UI Surfaces,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User can continue where they left off.,Medium,Decision Register,Only restore valid/safe state.
UP-011,"Preferences, Session & Telemetry",Session Restore,Active editor restore,Restore active editor/panel only if still valid and safe.,"Task existence check, version editability check, editor state",MVP,Confirmed,"Version status, task existence, Ready lock",Lifecycle & Version Status Rules,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User may return to the same task editor,Medium,Decision Register,Do not restore editor if version is locked or task no longer exists.
UP-016,"Preferences, Session & Telemetry",Telemetry Event Filtering,Track meaningful events only,"Only meaningful UX events should be trackable later, not every hover/scroll/state change.","Event dispatcher/adapter, analytics whitelist.",MVP + Seed Now,Confirmed,Event layer,"Audit, Logs & Error Reporting",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,Future analysis focuses on real behavior patterns.,Low-medium,Decision Register,Avoid DB/API call explosion.
UP-015,"Preferences, Session & Telemetry",Telemetry Event Layer,Future behavior tracking seed,"Seed a lightweight event layer for future customer/user behavior tools, but do","Event naming layer, optional analytics adapter later, no",Seed Now,Confirmed,UI event model,"Audit, Logs & Error Reporting",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,Future team can learn how users switch views/islands/projects.,Medium,Decision Register,Important for future UX/A/B testing.
UP-017,"Preferences, Session & Telemetry",Telemetry Event Map,Example meaningful events,"Candidate future events include view_switched, island_opened, task_editor_opened, file_preview_opened, template_imported, ready_validation_failed, manual_save_clicked, json_backup_exported.","Analytics event map, future behavior adapter.",Seed Now,Confirmed,Behavior tracking seed,"Audit, Logs & Error Reporting",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,Future UX improvements can be based on real,Low-medium,Decision Register,"Events are seeded as names/structure, not necessarily sent in MVP."
UP-023,"Preferences, Session & Telemetry",Telemetry MVP Boundary,Behavior tools not MVP,MVP should seed behavior tracking readiness but not integrate a full behavior,"Optional analytics adapter interface, no required provider in",MVP / Future,Confirmed,Future analytics decision,Integration Contracts,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,No immediate user-facing burden.,Low,Decision Register,Future integration can plug into seeded event layer.
UP-018,"Preferences, Session & Telemetry",Telemetry vs Audit Separation,Analytics vs activity logs,UX behavior events should be separate from business activity logs.,"Activity log service, analytics/event adapter, DB schema separation.",MVP + Seed Now,Confirmed,Change Logs & Audit category,"Audit, Logs & Error Reporting",src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,Admin logs stay clean; UX data can be,Medium,Decision Register,Important cost-control rule.
UP-012,"Preferences, Session & Telemetry",Temporary State Exclusion,Temporary state exclusion,"Do not restore temporary UI states like hover, drag state, open popovers,","Builder store, drag/drop state, modal/popover state.",MVP,Confirmed,Local state rules,Builder State & Mutation Layer,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,"User returns to stable context, not stale interaction",Low,Decision Register,This was skipped as obvious.
DM-021,"Preferences, Session & Telemetry",UI State Exclusion,UI state exclusion,"Selection, hover, expanded cards, island state, active popover, active file preview, and","Builder store, island hooks, local storage if needed,",MVP,Confirmed,Save/cost-control decisions,Builder State & Mutation Layer,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User can personalize/operate UI without affecting shared version.,Low,Decision Register,Some view preference may be local cache only.
UP-002,"Preferences, Session & Telemetry",View Preferences,Last opened view per version,"When a user reopens the same version, restore their last opened view","Local preference store, builder initialization, view switcher.",MVP,Confirmed,Local storage strategy,Builder UI Surfaces,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User returns to their previous work context.,Low-medium,Decision Register,Scoped by user + DCX + version.
UP-003,"Preferences, Session & Telemetry",View Preferences,New version view state,A new version should open with default Kanban unless that specific user/version,"Builder route/init logic, local preference lookup.",MVP,Confirmed,Default Builder view,Builder UI Surfaces,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User gets a clean predictable start for new,Low,Decision Register,Keeps cross-project leakage out.
BC-002,"Preferences, Session & Telemetry",View Preferences,Last opened view behavior,"If the user previously opened the same version, restore the last opened","Local preference store, builder initialization, view switcher.",MVP,Confirmed,UI Preferences category,Builder UI Surfaces,src/hooks/usePreferences.ts; local storage preference helpers; session restore; analytics/event adapter,User returns to where they left off.,Low-medium,Decision Register,New versions still default to Kanban.
VR-004,"Routing, Auth & Load Control",Auth Guard,Company Google/Gmail authentication,Users authenticate using company Google/Gmail authentication.,Auth integration; route guard; user session model; backend,MVP,Confirmed,ACCESS-003,Permissions & Access Control,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,A user must be signed in with the,Medium,Decision Register,Authentication confirms identity; workspace sharing confirms access.
PR-001,"Routing, Auth & Load Control",Auth Guard,Company Google/Gmail authentication,Users must authenticate using company Google/Gmail authentication.,"Auth provider, route guards, user session, backend user",MVP,Confirmed,Google auth setup,Permissions & Access Control,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,User logs in with company account before opening,Medium,Decision Register,Should validate company domain/name.
PR-002,"Routing, Auth & Load Control",Auth Guard,Non-authenticated access,Non-authenticated users cannot open the Builder.,"Route guard, no-access screen, login redirect.",MVP,Confirmed,Google auth,Permissions & Access Control,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,User must log in before viewing work.,Low-medium,Decision Register,Keeps shared ClickUp links safer.
VR-002,"Routing, Auth & Load Control",Builder Load Gate,Builder must not open before data and database connection are ready,The Builder should not become usable until the database connects and the,Version data query; service layer; Builder loader; StageManager;,MVP,Confirmed,ACCESS-001; LOAD-002; ERROR-001,"Persistence, Autosave & Recovery",src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,User sees an operating loader before the Builder,Medium,Decision Register,Implementation details like retry count should stay outside the decision register unless they affect cost or architecture.
VR-001,"Routing, Auth & Load Control",Direct Route Entry,Version link destination,"A version link opens the Builder directly, not a Version Room first.",Routing layer; Builder route; BuilderPage; version data query;,MVP,Confirmed,LOAD-001; ACCESS-003,Integration Contracts,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,"ClickUp/task link opens a loading state, then the",Low,Decision Register,Future can still introduce Version Room for PM/admin overview without changing the ICS direct-link flow.
PR-021,"Routing, Auth & Load Control",No-Access State,No-access behavior,"If user is not authenticated or not shared on the DCX, show","Builder loader, access query, no-access screen, error reporting.",MVP,Confirmed,Auth + workspace access,Permissions & Access Control,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,User understands why they cannot open the link.,Low-medium,Decision Register,Also affects direct ClickUp links.
VR-003,"Routing, Auth & Load Control",Progressive Load Sequence,Progressive visual loading sequence,"Load the Builder experience in sequence: islands/shell first, then stage, then phase",Builder loader; islands; StageManager; PhaseCard; ActionCard/container; TaskCard rendering,MVP,Confirmed,LOAD-001,Builder UI Surfaces,src/app/; src/router.tsx; src/components/auth/; src/services/access.service.ts; route/load guards,User sees a controlled opening sequence instead of,Low-medium,Decision Register,This is a UX sequence only. Data should still be fetched efficiently as a bundle where possible.
RV-015,Validation & Readiness Rules,Central Validation Source,Validation source,"Readiness validation should be centralized in a validation helper/service, not scattered across","utils/validate.ts, readiness checker, status transition service, tests.",MVP + Seed Now,Proposed,Data model,,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User gets consistent readiness behavior everywhere.,Medium,Decision Register,Critical for backend readiness.
RV-013,Validation & Readiness Rules,Draft Warnings,Draft validation display,"In Draft/In Progress, validation issues should be visible as incomplete/warning states, not","Card badges, TaskEditor warnings, validation summary, readiness panel/island.",MVP,Proposed,Save & Continuity,Builder UI Surfaces,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User sees what is missing before attempting Ready.,Medium,Decision Register,This is implied by save vs Ready logic.
RV-014,Validation & Readiness Rules,Failure Feedback,Ready attempt feedback,"If Ready fails, the system should show what blocks readiness and where","Validation summary UI, focus/locate behavior, task/action/phase error markers.",MVP,Proposed,Validation layer,Builder UI Surfaces,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User can quickly fix readiness blockers.,Medium,Decision Register,"Important for usability, even if visual details come later."
BC-022,Validation & Readiness Rules,Import Validation,Validation after import,Imported structure must be validated before applying or before allowing Ready.,"Import validator, schema validation, readiness validation, error reporting.",MVP,Confirmed,"Data model, readiness validation",Builder State & Mutation Layer,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User gets safe recovery without corrupting the Builder.,Medium,Decision Register,Invalid import can still be previewed with warnings.
RV-010,Validation & Readiness Rules,Intentional None Fields,Missing data field rule,The missing datafield must either have content or be explicitly marked Not,"TaskEditor field model, task type, validation, API DTO,",MVP,Confirmed,Data Model & Builder Structure,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User must intentionally confirm whether missing data exists.,Medium,Decision Register,Applies only to the actual missing data field in TaskEditor.
RV-011,Validation & Readiness Rules,Intentional None Fields,Specs field rule,The specs field must either have content or be explicitly marked Not,"TaskEditor field model, task type, validation, API DTO,",MVP,Confirmed,Data Model & Builder Structure,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User can confirm “no specs needed” instead of,Medium,Decision Register,Applies only to the actual specs field in TaskEditor.
RV-012,Validation & Readiness Rules,Intentional None Fields,Empty vs intentional none,"For fields where “none” is acceptable, the data model should distinguish empty/unanswered","Task schema, validation, UI controls, API mappers.",MVP,Confirmed,Missing data/specs rule,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User sees a clear choice: fill it or,Medium,Decision Register,Current confirmed scope is only missing data + specs.
RV-008,Validation & Readiness Rules,Parent Requirement,Task parent requirement,A task cannot exist without an action.,"Task creation flow, CreatorIsland, builderMutations, task validation, API",MVP,Confirmed,Data Model hierarchy,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User must place each task under an action.,Low,Decision Register,Bottom-up creation must still ask where the task belongs.
BC-028,Validation & Readiness Rules,Parent/Relationship Rules,Task cannot be orphaned,All creation/import flows must preserve the rule that tasks belong to actions.,"Creation functions, import reconciler, validation, API schema.",MVP,Confirmed,Data Model hierarchy,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User never ends with unsupported loose tasks.,Medium,Decision Register,Timeline quick-create must handle this carefully.
RV-001,Validation & Readiness Rules,Ready Gate,Ready validation scope,"When a version is marked Ready, the system validates the full version","Readiness checker, validation service, useBuilderNodes, status update flow,",MVP,Confirmed,Data Model & Builder Structure,Lifecycle & Version Status Rules,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User cannot mark a structurally incomplete DCX as,Medium,Decision Register,"Ready validation includes version, phases, actions, and tasks."
VL-006,Validation & Readiness Rules,Ready Gate,Ready validation,Moving to Ready for Approval is blocked by readiness validation across the,"Readiness checker, validation summary, status transition endpoint.",MVP,Confirmed,Readiness & Validation Rules,Lifecycle & Version Status Rules,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User gets blocked only when trying to mark,Medium,Decision Register,Readiness table already defines detailed validation.
DM-004,Validation & Readiness Rules,Required Structure Rules,Empty phases/actions while planning,"Empty phases/actions may exist while planning, but they cannot pass “Ready” validation.","Validation layer, status transition logic, phase/action cards, Ready",MVP,Confirmed,Readiness & Validation category,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,"User can draft structure first, but must complete",Medium,Decision Register,Detailed rules move to Readiness category.
RV-006,Validation & Readiness Rules,Required Structure Rules,Empty phase rule,"A phase can exist while planning, but a Ready version cannot contain","Phase validation, status transition checker, phase cards.",MVP,Confirmed,Data Model hierarchy,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,"User can draft phases, but must complete them",Low-medium,Decision Register,Empty phase is allowed in Draft/In Progress only.
RV-007,Validation & Readiness Rules,Required Structure Rules,Empty action rule,"An action can exist while planning, but a Ready version cannot contain","Action validation, action card state, status transition checker.",MVP,Confirmed,Data Model hierarchy,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,"User can create action containers first, then fill",Low-medium,Decision Register,Empty action is allowed in Draft/In Progress only.
BC-029,Validation & Readiness Rules,Required Structure Rules,Empty planning containers,Phases/actions can be created empty during planning but must be completed before,"Phase/action creation, validation, status transition.",MVP,Confirmed,Readiness rules,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,"User can plan first, then fill details.",Low-medium,Decision Register,"Already captured in readiness, repeated here as workflow rule."
RV-009,Validation & Readiness Rules,Required Task Fields,Required task fields,"If a task is added, all required task properties must be filled","TaskEditor, task validation, readiness checker, API payload.",MVP,Confirmed,Task data model,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,"User can draft incomplete tasks, but must complete",Medium,Decision Register,Exact required fields should be listed in validation implementation.
RV-002,Validation & Readiness Rules,Save vs Ready Boundary,Save vs Ready validation,Incomplete work can be saved. Strict validation only blocks switching to Ready.,"Autosave logic, validation layer, save status, version status",MVP,Confirmed,Save & Continuity,"Persistence, Autosave & Recovery",src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User can work progressively without being blocked too,Low,Decision Register,This was considered obvious for the product flow.
DM-023,Validation & Readiness Rules,Task Field Quality Model,Missing data and specs field model,"For missing data and specs fields only, task is ready when each","TaskEditor fields, task type, validation, readiness checker, API",MVP,Confirmed,Readiness & Validation category,Domain Model & API Contracts,src/rules/validation.rules.ts; readiness checker; validation summary UI; TaskEditor validation hooks,User must make an explicit choice before marking,Medium,Decision Register,This belongs partly to the next category too.
SBC-001,Shared Builder Card System,Card Primitive Layer,Common card interaction layer,"Phase, Action, and Task cards are strategic Builder components, not simple visual cards. They must share one consistent interaction layer so the whole Builder behaves predictably and can be visually redesigned without rewriting logic.","Provide reusable card primitives + typed card configuration covering: selection, multi-selection, expand/collapse, drag-and-drop, reorder, delete, contextual actions, locked/read-only state, readiness state, creation/selection highlight, parent/drop-target highlight, and motion feedback. Common behavior must not be duplicated per card type.",MVP + Seed Now,Confirmed,DM-020,"SBC-002, SBC-003, SBC-004, IFX-001",src/pages/builder/cards/BuilderCardShell.tsx; card config types; src/pages/builder/cards/phase|action|task/,Cards feel consistent; visual redesign is safe.,Medium,Strategic Amends,Each card keeps its own movement/business rules; only shared behavior is centralized.
SBC-002,Shared Builder Card System,Card Movement Rules,Card-specific movement rules,Each card type moves differently and that movement is part of its meaning. The shared system must allow per-card movement rules rather than forcing identical behavior.,"Phase cards move horizontally across the Kanban stage. Action cards move vertically inside a phase and horizontally between phases. Task cards move inside actions, between actions, and across dates in Timeline. Movement rules are card-type configuration, not shell logic.",MVP,Confirmed,SBC-001,"DZ-001, STG-002",src/pages/builder/cards/; src/pages/builder/kanban/; src/pages/builder/timeline/,Movement matches the mental model of each object.,Medium,Strategic Amends,"Movement rules live in card config + dropzone engine, not duplicated in components."
SBC-003,Shared Builder Card System,Phase Card Intelligence,Phase Card as strategic visual container,"The Phase Card is the highest-value visual container. Beyond holding actions/tasks, it should communicate where the work and focus of a phase concentrates, especially when collapsed, seeding future workload/communication-flow views without a full analytics engine.","Phase Card supports expanded/collapsed states, phase-level task/action density, readiness/blocker indicators, visual emphasis where most work exists, subtle background/light-intensity signals, and a seam for future heatmap and communication-flow indicators.",MVP + Seed Now,Confirmed,"SBC-001, RDY-001","SBC-005, SBC-006",src/pages/builder/cards/phase/,Collapsed phases still communicate weight and focus.,Medium-High,Strategic Amends,Heatmap/flow indicators are seeded structurally; full analytics is future.
SBC-004,Shared Builder Card System,Action Card,Action Card as simpler structural component,"The Action Card should rely on the shared card system without becoming overdesigned. It is a structural grouping, not an intelligence surface.","Action Card supports selection, expand/collapse, drag/drop, reorder inside phase, move between phases, delete, task count, empty-action warning, readiness state, and locked state. No heatmap/visual-intelligence layer now.",MVP,Confirmed,SBC-001,RDY-001,src/pages/builder/cards/action/,"Clean, predictable action grouping.",Low-Medium,Strategic Amends,Intentionally simpler than Phase Card.
SBC-005,Shared Builder Card System,Task Card Field Status,Task Card as field-status surface,"The Task Card is a complex, high-investment component. It should communicate at a glance whether each key property is ready, unset, filled, or marked not needed, and allow quick inspection/correction without always opening the full Editor.","Task Card shows compact field indicators for: date/communication-date status, missing data, specs, sender, receiver, channel, subtasks, and future structured properties. Clicking an indicator opens a controlled popup showing field name, current value, readiness state, 'Unset' if not ready, or the selected value. Double-clicking the popup switches it to edit mode.",MVP,Confirmed,"SBC-001, DQ-001, RDY-003","SR-002, EVI-001",src/pages/builder/cards/task/; field indicator popups; src/pages/builder/tooltips/,Fast field inspection and correction inline.,Medium-High,Strategic Amends,Popup is controlled; edit mode is explicit via double-click.
RDY-001,Validation & Readiness Rules,Shared Card Readiness,Readiness as shared card-system feature,"Readiness should be a shared feature across all cards, but readiness means something different at each level. Cards must never disagree about whether something is ready.",All cards display readiness state. Phase readiness depends on child actions/tasks; action readiness depends on child tasks; task readiness depends on required fields and explicit Not Needed values. Cards must receive readiness from centralized validation/readiness helpers and must not compute it independently.,MVP,Confirmed,"RV-015, RV-001","SBC-003, SBC-004, SBC-005, RDY-003",src/rules/validation.rules.ts; readiness checker; card readiness props,Consistent readiness signals everywhere.,Medium,Strategic Amends,Single source of readiness truth; cards are presentational.
RDY-003,Validation & Readiness Rules,Field Readiness States,Per-field readiness states on tasks,"Each important task field needs a clear readiness state so the Task Card and Editor agree on what is filled, unset, or intentionally not needed.","Define field-level readiness states (ready / filled / unset / not-needed) for date, missing data, specs, sender, receiver, channel, subtasks. States are computed centrally and consumed by the Task Card indicators and the Editor.",MVP,Confirmed,"RDY-001, DQ-001",SBC-005,src/rules/validation.rules.ts; task type; TaskEditor,User sees exactly which fields still need attention.,Medium,Strategic Amends,Extends the missing-data/specs three-state model to all key fields.
KBI-001,Builder UI Surfaces,Kanban Builder Island,Kanban Builder Island as creation surface,"The Kanban Builder Island is a strategic creation surface. It starts compact and expands into a creation/control strip, with a reserved AI entry point, giving users a guided drag-to-create experience.","Compact button expands inline into a creation/control strip. Far-right reserves an AI Chat entry point. Supports drag-to-create: phase created only on drop into a valid board location, action only on drop into a phase, task only on drop into an action. Valid parent/drop target is highlighted during drag; created item animates/highlights after drop.",MVP + Seed Now,Confirmed,"DZ-001, IFX-001","AIC-001, BC-012",src/pages/builder/islands/ (Kanban Builder Island); src/pages/builder/kanban/; dropzone engine,"Guided, forgiving creation flow.",Medium-High,Strategic Amends,AI entry point is reserved now; AI runtime is future.
AIC-001,AI & Intelligence (Seed),AI Chat Surface,AI Chat Builder surface (seed),"AI Chat is seeded as a future Builder capability, not a full AI runtime in MVP. It gives users a branded, in-canvas assistant entry point that will later help generate and structure DCX content.","AI entry point lives in the Kanban Builder Island. Clicking opens a branded sticky popup (resizable, minimizable, sticky on canvas) using the shared popup shell. Future capabilities: read proposal, extract phases/actions/tasks, break tasks into subtasks, assign channels, complete structure from objectives/templates/strategy metadata. AI output must never directly mutate Builder data; it must go through review/preview/apply + normal validation.",Seed Now / Future,Proposed,"KBI-001, SPS-001, AIM-001",BC-016,src/pages/builder/islands/ (AI Chat); src/services/ (future ai.service); review/preview/apply pipeline,Future in-canvas AI assistance.,Medium,Strategic Amends,"Non-negotiable: AI output is reviewed, never auto-applied."
